"genenames","PFAM"
"MA-10254376g0010",NA
"MA-10255g0010","PF03514-GRAS domain family"
"MA-102570g0010","PF00098-Zinc knuckle;PF00098-Zinc knuckle;PF00098-Zinc knuckle;PF00098-Zinc knuckle;PF00098-Zinc knuckle;PF00098-Zinc knuckle;PF00098-Zinc knuckle;PF00098-Zinc knuckle;PF13917-Zinc knuckle"
"MA-10257038g0010","PF00708-Acylphosphatase"
"MA-10257270g0010","PF00069-Protein kinase domain"
"MA-102589g0010","PF17098-WTAP/Mum2p family"
"MA-102591g0010","PF00542-Ribosomal protein L7/L12 C-terminal domain"
"MA-10259610g0010",NA
"MA-10259649g0010","PF02453-Reticulon"
"MA-10259759g0010","PF00201-UDP-glucoronosyl and UDP-glucosyl transferase"
"MA-102606g0010",NA
"MA-10263024g0010","PF00687-Ribosomal protein L1p/L10e family"
"MA-102643g0010","PF01625-Peptide methionine sulfoxide reductase"
"MA-10264739g0010","PF00111-2Fe-2S iron-sulfur cluster binding domain"
"MA-10265423g0010","PF04563-RNA polymerase beta subunit"
"MA-102655g0010","PF00235-Profilin"
"MA-10265574g0010","PF01370-NAD dependent epimerase/dehydratase family"
"MA-102658g0010",NA
"MA-10266950g0010","PF13639-Ring finger domain"
"MA-10268127g0010","PF02271-Ubiquinol-cytochrome C reductase complex 14kD subunit"
"MA-10268926g0010",NA
"MA-10270008g0010","PF08164-Apoptosis-antagonizing transcription factor, C-terminal"
"MA-102706g0010",NA
"MA-102713g0010","PF00141-Peroxidase"
"MA-102713g0020",NA
"MA-10272168g0010",NA
"MA-10273429g0010",NA
"MA-102736g0010","PF00996-GDP dissociation inhibitor"
"MA-10274785g0010","PF16363-GDP-mannose 4,6 dehydratase"
"MA-10275628g0010","PF05347-Complex 1 protein (LYR family)"
"MA-10275802g0010",NA
"MA-10277514g0010",NA
"MA-10278819g0010","PF00179-Ubiquitin-conjugating enzyme"
"MA-10278871g0010",NA
"MA-102793g0010","PF00903-Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily;PF00903-Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily"
"MA-102794g0010",NA
"MA-102797g0010","PF14570-RING/Ubox like zinc-binding domain"
"MA-10279792g0010",NA
"MA-10279796g0010","PF00646-F-box domain;PF01344-Kelch motif;PF01344-Kelch motif;PF01344-Kelch motif"
"MA-102811g0020",NA
"MA-102821g0020","PF10516-SHNi-TPR"
"MA-10282934g0010",NA
"MA-10284429g0010",NA
"MA-10285g0010",NA
"MA-10285148g0010","PF01323-DSBA-like thioredoxin domain"
"MA-10285340g0010","PF00333-Ribosomal protein S5, N-terminal domain;PF03719-Ribosomal protein S5, C-terminal domain"
"MA-102863g0010","PF01161-Phosphatidylethanolamine-binding protein"
"MA-10287420g0010",NA
"MA-102879g0010","PF01643-Acyl-ACP thioesterase"
"MA-10288271g0010","PF02803-Thiolase, C-terminal domain;PF00108-Thiolase, N-terminal domain"
"MA-102889g0010",NA
"MA-10290598g0010","PF00400-WD domain, G-beta repeat;PF00400-WD domain, G-beta repeat;PF00400-WD domain, G-beta repeat"
"MA-10291874g0010","PF00153-Mitochondrial carrier protein"
"MA-10292743g0010","PF01535-PPR repeat;PF01535-PPR repeat;PF13041-PPR repeat family"
"MA-10293g0010","PF14543-Xylanase inhibitor N-terminal;PF14541-Xylanase inhibitor C-terminal"
"MA-10293392g0010",NA
"MA-10294386g0010","PF00514-Armadillo/beta-catenin-like repeat;PF00514-Armadillo/beta-catenin-like repeat"
"MA-10294942g0010","PF08041-PetM family of cytochrome b6f complex subunit 7"
"MA-10295g0010",NA
"MA-10295379g0010",NA
"MA-102961g0010","PF02458-Transferase family;PF02458-Transferase family"
"MA-10297972g0010",NA
"MA-10298g0010","PF02704-Gibberellin regulated protein"
"MA-10298455g0010",NA
"MA-102992g0010","PF09111-SLIDE"
"MA-10301268g0010",NA
"MA-10301373g0010",NA
"MA-103018g0010",NA
"MA-103022g0010","PF02990-Endomembrane protein 70;PF02990-Endomembrane protein 70"
"MA-10302741g0010",NA
"MA-103031g0010",NA
"MA-10303844g0010","PF00582-Universal stress protein family"
"MA-103044g0010","PF06071-Protein of unknown function (DUF933)"
"MA-10306785g0020",NA
"MA-10307382g0030",NA
"MA-10307382g0050",NA
"MA-10310126g0010","PF00137-ATP synthase subunit C"
"MA-103104g0010","PF00011-Hsp20/alpha crystallin family"
"MA-10312576g0010",NA
"MA-10314549g0010",NA
"MA-103156g0020",NA
"MA-10316827g0010","PF00888-Cullin family;PF10557-Cullin protein neddylation domain"
"MA-10316972g0010","PF00083-Sugar (and other) transporter"
"MA-10317575g0030",NA
"MA-10317671g0010","PF13041-PPR repeat family;PF13041-PPR repeat family;PF13041-PPR repeat family;PF13041-PPR repeat family;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat;PF01535-PPR repeat"
"MA-10318138g0010",NA
"MA-10318227g0010",NA
"MA-103215g0010",NA
"MA-10321555g0010",NA
"MA-10321955g0010",NA
"MA-103237g0010",NA
"MA-10323826g0010",NA
"MA-10323933g0010","PF03143-Elongation factor Tu C-terminal domain"
"MA-10324103g0010",NA
"MA-103246g0010","PF07847-PCO_ADO"
"MA-10325005g0020",NA
"MA-10325005g0040",NA
"MA-103256g0010",NA
"MA-103256g0020",NA
"MA-10326002g0010","PF00240-Ubiquitin family;PF00240-Ubiquitin family;PF00240-Ubiquitin family;PF00240-Ubiquitin family;PF00240-Ubiquitin family;PF00240-Ubiquitin family"
"MA-103261g0010","PF02153-Prephenate dehydrogenase"
"MA-10328577g0010",NA
"MA-10330942g0010","PF01145-SPFH domain / Band 7 family"
"MA-103312g0010","PF02365-No apical meristem (NAM) protein"
"MA-103319g0010",NA
"MA-10332278g0010",NA
"MA-10333105g0010",NA
"MA-10335576g0010",NA
"MA-10336161g0010",NA
"MA-10337467g0010",NA
"MA-10337581g0010",NA
"MA-10338186g0010",NA
"MA-10339104g0010",NA
"MA-103406g0010","PF00338-Ribosomal protein S10p/S20e"
"MA-10341095g0010",NA
"MA-103411g0010",NA
"MA-10341242g0010","PF01326-Pyruvate phosphate dikinase, PEP/pyruvate binding domain"
"MA-10342g0010","PF00686-Starch binding domain"
"MA-10342253g0010","PF00241-Cofilin/tropomyosin-type actin-binding protein"
"MA-10343072g0020",NA
"MA-10343072g0030",NA
"MA-10344938g0010",NA
"MA-10346251g0010","PF02847-MA3 domain"
"MA-103473g0010","PF01381-Helix-turn-helix;PF08523-Multiprotein bridging factor 1"
"MA-10347733g0010",NA
"MA-103500g0020","PF05050-Methyltransferase FkbM domain"
"MA-10350481g0010",NA
"MA-10351g0010","PF14290-Domain of unknown function (DUF4370)"
"MA-103523g0020","PF07765-KIP1-like protein"
"MA-103538g0010","PF17181-Epidermal patterning factor proteins"
"MA-10354140g0010",NA
"MA-103548g0010","PF01125-G10 protein"
"MA-103557g0010",NA
"MA-10356566g0010",NA
"MA-103578g0010","PF01679-Proteolipid membrane potential modulator"
"MA-10357831g0020",NA
"MA-103581g0010","PF02705-K+ potassium transporter"
"MA-10358375g0010",NA
"MA-103594g0010","PF06955-Xyloglucan endo-transglycosylase (XET) C-terminus;PF00722-Glycosyl hydrolases family 16"
"MA-103595g0010","PF00534-Glycosyl transferases group 1;PF05116-Sucrose-6F-phosphate phosphohydrolase;PF00862-Sucrose synthase"
"MA-103602g0010",NA
"MA-10360933g0010","PF00227-Proteasome subunit"
"MA-10361735g0010",NA
"MA-103629g0010","PF13962-Domain of unknown function"
"MA-10366436g0070",NA
"MA-103701g0010",NA
"MA-103708g0010","PF01192-RNA polymerase Rpb6"
"MA-103714g0010","PF01287-Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold"
"MA-103718g0010",NA
"MA-10373780g0020","PF02212-Dynamin GTPase effector domain"
"MA-103758g0010","PF00651-BTB/POZ domain"
"MA-103763g0010","PF02309-AUX/IAA family"
"MA-10376431g0020",NA
"MA-103794g0010","PF02803-Thiolase, C-terminal domain"
"MA-10379445g0010","PF12222-Peptide N-acetyl-beta-D-glucosaminyl asparaginase amidase A"
"MA-10379814g0010","PF00639-PPIC-type PPIASE domain"
"MA-10381232g0010",NA
"MA-10382711g0010",NA
"MA-10383054g0010",NA
"MA-10383287g0010",NA
"MA-103858g0010","PF00069-Protein kinase domain;PF13855-Leucine rich repeat;PF13855-Leucine rich repeat;PF13855-Leucine rich repeat;PF08263-Leucine rich repeat N-terminal domain;PF13516-Leucine Rich repeat"
"MA-10386259g0010","PF14308-X-domain of DnaJ-containing"
"MA-103867g0010",NA
"MA-10389009g0010",NA
"MA-103900g0010","PF04570-zinc-finger of the FCS-type, C2-C2"
"MA-103907g0010","PF01388-ARID/BRIGHT DNA binding domain"
"MA-103920g0010","PF01167-Tub family"
"MA-10394755g0010",NA
"MA-103964g0010",NA
"MA-10397863g0020",NA
"MA-103984g0010",NA
"MA-104009g0010",NA
"MA-104020g0030","PF00505-HMG (high mobility group) box"
"MA-104034g0010","PF00176-SNF2 family N-terminal domain;PF00271-Helicase conserved C-terminal domain"
"MA-104063g0010","PF13639-Ring finger domain"
"MA-10407g0010","PF01344-Kelch motif;PF01344-Kelch motif;PF01344-Kelch motif;PF01344-Kelch motif"
"MA-104108g0010",NA
"MA-104110g0010",NA
"MA-104137g0010","PF03297-S25 ribosomal protein"
"MA-104138g0010","PF01486-K-box region"
"MA-104153g0010","PF12428-Protein of unknown function (DUF3675);PF12906-RING-variant domain"
"MA-104172g0010",NA
"MA-104176g0010",NA
"MA-104182g0010","PF00076-RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain);PF12220-U1 small nuclear ribonucleoprotein of 70kDa MW N terminal"
"MA-10419208g0010","PF00560-Leucine Rich Repeat;PF00560-Leucine Rich Repeat"
"MA-104203g0010","PF00069-Protein kinase domain;PF08263-Leucine rich repeat N-terminal domain;PF00560-Leucine Rich Repeat"
"MA-10425774g0020","PF00076-RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
"MA-10425784g0010",NA
"MA-10425796g0010","PF06273-Plant specific eukaryotic initiation factor 4B"
"MA-10425800g0010","PF16211-C-terminus of histone H2A;PF00125-Core histone H2A/H2B/H3/H4"
"MA-10425810g0010",NA
"MA-10425812g0010","PF03572-Peptidase family S41"
"MA-10425817g0010",NA
"MA-10425818g0010","PF00481-Protein phosphatase 2C"
"MA-10425832g0010","PF00027-Cyclic nucleotide-binding domain"
"MA-10425833g0010",NA
"MA-10425834g0010",NA
"MA-10425837g0010",NA
"MA-10425838g0010",NA
"MA-10425842g0020",NA
"MA-10425844g0010","PF00271-Helicase conserved C-terminal domain;PF00270-DEAD/DEAH box helicase"
"MA-10425852g0010",NA
"MA-10425881g0040","PF00561-alpha/beta hydrolase fold"
"MA-10425884g0010","PF03936-Terpene synthase family, metal binding domain"
"MA-10425885g0010","PF05553-Cotton fibre expressed protein"
"MA-10425888g0020",NA
"MA-10425891g0010","PF13764-E3 ubiquitin-protein ligase UBR4;PF00569-Zinc finger, ZZ type"
"MA-10425895g0020","PF00201-UDP-glucoronosyl and UDP-glucosyl transferase"
"MA-10425897g0010","PF00011-Hsp20/alpha crystallin family"
"MA-10425904g0010",NA
"MA-10425905g0010","PF16413-DNA mismatch repair protein Mlh1 C-terminus"
"MA-10425915g0010",NA
"MA-10425929g0010",NA
"MA-10425939g0010","PF11976-Ubiquitin-2 like Rad60 SUMO-like"
"MA-10425957g0010","PF00400-WD domain, G-beta repeat;PF00400-WD domain, G-beta repeat;PF00400-WD domain, G-beta repeat;PF12265-Histone-binding protein RBBP4 or subunit C of CAF1 complex"
"MA-10425959g0010",NA
"MA-10425962g0020","PF02668-Taurine catabolism dioxygenase TauD, TfdA family"
"MA-10425963g0010",NA
"MA-10425971g0010","PF05755-Rubber elongation factor protein (REF)"
"MA-10425985g0010",NA
"MA-10425998g0020",NA
"MA-10426006g0010","PF08506-Cse1;PF03378-CAS/CSE protein, C-terminus"
"MA-10426020g0010",NA
"MA-10426028g0020",NA
"MA-10426033g0010","PF01764-Lipase (class 3);PF18117-Enhanced disease susceptibility 1 protein EP domain"
"MA-10426038g0020","PF03208-PRA1 family protein"
"MA-10426048g0020",NA
"MA-10426049g0010","PF00390-Malic enzyme, N-terminal domain;PF03949-Malic enzyme, NAD binding domain"
"MA-10426052g0030","PF05603-Protein of unknown function (DUF775)"
"MA-10426053g0010",NA
"MA-10426065g0010","PF00067-Cytochrome P450"
"MA-10426076g0020",NA
"MA-10426077g0010","PF02201-SWIB/MDM2 domain"
"MA-10426080g0010",NA
"MA-10426084g0030",NA
"MA-10426087g0010","PF12031-SWI/SNF-like complex subunit BAF250/Osa"
"MA-10426094g0010",NA
"MA-10426096g0010","PF00676-Dehydrogenase E1 component"
"MA-10426098g0020",NA
"MA-10426101g0010","PF09766-Fms-interacting protein/Thoc5"
"MA-10426103g0010","PF00481-Protein phosphatase 2C;PF00481-Protein phosphatase 2C"
"MA-10426104g0010","PF13410-Glutathione S-transferase, C-terminal domain"
